Metabolite	MIDAS_ID	Pool	KEGG_ID	HMDB_ID	SMILES	KEGG_pathway_association
NADP	CNC_31_R	2	C00006	HMDB00217	NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O	Glutathione metabolism;Nicotinate and nicotinamide metabolism;Drug metabolism - other enzymes;Thyroid hormone synthesis;Aldosterone synthesis and secretion
Melibiose	M_3	2	C05402	HMDB00048	OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O	Galactose metabolism;ABC transporters
D-Maltose	M_4	2	C00208	HMDB00163	OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	Starch and sucrose metabolism;ABC transporters;Taste transduction;Carbohydrate digestion and absorption
2-Hydroxybutyric acid	20C_56	4	C05984	HMDB00008	CCC(O)C(O)=O	Propanoate metabolism
(S)-3-Hydroxybutyric acid	CNC_151	4	C03197	HMDB00442	C[C@H](O)CC(O)=O	
(S)-3-Hydroxyisobutyric acid	CNC_160	4	C06001	HMDB00023	C[C@@H](CO)C(O)=O	"Valine, leucine and isoleucine degradation"
(R)-3-Hydroxyisobutyric acid	CNC_161	4		HMDB00336	C[C@H](CO)C(O)=O	
3-Hydroxybutyric acid	CNC_20	4	C01089	HMDB00011	C[C@@H](O)CC(O)=O	Synthesis and degradation of ketone bodies;Butanoate metabolism;cAMP signaling pathway
L-Malic acid	M_1	4	C00149	HMDB00156	O[C@@H](CC(O)=O)C(O)=O	Citrate cycle (TCA cycle);Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism;Taste transduction;Glucagon signaling pathway;Proximal tubule bicarbonate reclamation;Pathways in cancer;Renal cell carcinoma;Central carbon metabolism in cancer
Adenylosuccinic acid	CNC_124	3	C03794	HMDB00536	O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2NC(CC(O)=O)C(O)=O	"Purine metabolism;Alanine, aspartate and glutamate metabolism"
Propionyl coenzyme A	CNC_55	4	C00100	HMDB01275	CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	"Valine, leucine and isoleucine degradation;beta-Alanine metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Carbon metabolism"
"Adenosine 3,5-diphosphate"	CNC_92	4	C00054	HMDB00061	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O	Purine metabolism;Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate;Glycosaminoglycan biosynthesis - heparan sulfate / heparin;Pantothenate and CoA biosynthesis;Sulfur metabolism
D-Saccharic acid	S_5	4	C00818	HMDB00663	O[C@@H]([C@H](O)[C@@H](O)C(O)=O)[C@H](O)C(O)=O	Ascorbate and aldarate metabolism
Thiamine	T_11	1	C00378	HMDB00235	CC1=C(CCO)SC=[N+]1CC1=C(N)N=C(C)N=C1	Thiamine metabolism;ABC transporters;Sulfur relay system;Vitamin digestion and absorption
2-Deoxycytidine 5-diphosphate	CNC_53	4	C00705	HMDB01245	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1	Pyrimidine metabolism
O-Phospho-L-serine	P_2	4	C01005	HMDB00272	N[C@@H](COP(O)(O)=O)C(O)=O	"Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Aminoacyl-tRNA biosynthesis;Carbon metabolism;Biosynthesis of amino acids"
S-Lactoylglutathione	CNC_28	4	C03451	HMDB01066	C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O	Pyruvate metabolism
D-Pyroglutamic Acid	CNC_29	3	C02237	HMDB00805	OC(=O)C1CCC(=O)N1	D-Glutamine and D-glutamate metabolism
L-Pyroglutamic acid	P_9	3	C01879	HMDB00267	OC(=O)[C@@H]1CCC(=O)N1	Glutathione metabolism
N-Acetyl-L-aspartate	A_13	4	C01042	HMDB00812	CC(=O)N[C@@H](CC(O)=O)C(O)=O	"Alanine, aspartate and glutamate metabolism"
D-Xylulose 5-phosphate	20C_39	4	C00231	HMDB00868	OCC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O	Pentose phosphate pathway;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Carbon metabolism;Biosynthesis of amino acids;Thyroid hormone synthesis
D-Ribose 1-phosphate	20C_54	4	C00620	HMDB01489	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O	Pentose phosphate pathway;Purine metabolism
D-Ribose 5-phosphate	20C_9	4	C00117	HMDB01548	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	Pentose phosphate pathway;Purine metabolism;Phosphonate and phosphinate metabolism;Carbon metabolism;Biosynthesis of amino acids;Thyroid hormone synthesis
L-Fucose 1-phosphate	20C_65	4	C02985	HMDB01265	C[C@@H]1OC(OP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O	Fructose and mannose metabolism;Amino sugar and nucleotide sugar metabolism
Hydroxypyruvate	L_4	3	C00168	HMDB01352	OCC(=O)C(O)=O	"Glycine, serine and threonine metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism"
D-2-Hydroxyglutaric acid	4C_33	4	C01087	HMDB00606	O[C@H](CCC(O)=O)C(O)=O	
L-2-Hydroxyglutaric acid	4C_34	4	C03196	HMDB00694	O[C@@H](CCC(O)=O)C(O)=O	Lysine degradation
3-Hydroxyglutaric acid	CNC_109	4		HMDB00428	OC(CC(O)=O)CC(O)=O	
Citramalic acid	CNC_139	4	C00815	HMDB00426	CC(O)(CC(O)=O)C(O)=O	
Ethylmalonic acid	CNC_156	3		HMDB00622	CCC(C(O)=O)C(O)=O	
Glutaric acid	CNC_5	3	C00489	HMDB00661	OC(=O)CCCC(O)=O	Fatty acid degradation;Lysine degradation
D-3-Phosphoglyceric acid	20C_50	4	C00197	HMDB60180	O[C@H](COP(O)(O)=O)C(O)=O	"Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Glycerolipid metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism;Biosynthesis of amino acids;Glucagon signaling pathway;Central carbon metabolism in cancer"
Maleic acid	CNC_22	4	C01384	HMDB00176	OC(=O)\C=C/C(O)=O	Tyrosine metabolism;Butanoate metabolism;Nicotinate and nicotinamide metabolism
2-Deoxyinosine	20C_24	2	C05512	HMDB00071	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CN=C2O	Purine metabolism;ABC transporters
Orotic acid	O_1	4	C00295	HMDB00226	OC(=O)C1=CC(=O)NC(=O)N1	Pyrimidine metabolism
Citric acid	C_1	4	C00158	HMDB00094	OC(=O)CC(O)(CC(O)=O)C(O)=O	"Citrate cycle (TCA cycle);Alanine, aspartate and glutamate metabolism;Glyoxylate and dicarboxylate metabolism;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Taste transduction;Glucagon signaling pathway;Central carbon metabolism in cancer"
Isocitric acid	I_1	4	C00311	HMDB00193	OC(C(CC(O)=O)C(O)=O)C(O)=O	Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;Glucagon signaling pathway;Central carbon metabolism in cancer
5-Methyltetrahydrofolic acid	20C_48	4	C00440	HMDB01396	CN1C(CNC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2	One carbon pool by folate;Carbon metabolism;Antifolate resistance
D-Glutamic acid	G_21	4	C00217	HMDB03339	N[C@H](CCC(O)=O)C(O)=O	D-Glutamine and D-glutamate metabolism
2-Deoxyuridine	D_6	2	C00526	HMDB00012	OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O	Pyrimidine metabolism;ABC transporters
4-Imidazoleacetic acid	I_7	1	C02835	HMDB02024	OC(=O)CC1=CN=CN1	Histidine metabolism
Folinic acid	CNC_52	4	C03479	HMDB01562	NC1=NC2=C(N(C=O)C(CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)CN2)C(=O)N1	One carbon pool by folate
AICAR	CNC_180	4	C04677	HMDB01517	NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	Purine metabolism;Histidine metabolism;AMPK signaling pathway
S-(5-Adenosyl)-L-homocysteine	CNC_203	1	C00021	HMDB00939	N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(N)N=CN=C12)C(O)=O	Cysteine and methionine metabolism;Biosynthesis of amino acids
Phosphoenolpyruvic acid	20C_59	4	 C00074	HMDB00263	OC(=O)C(=C)OP(O)(O)=O	"Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Phenylalanine, tyrosine and tryptophan biosynthesis;Phosphonate and phosphinate metabolism;Pyruvate metabolism;Carbon metabolism;Biosynthesis of amino acids;Glucagon signaling pathway;Proximal tubule bicarbonate reclamation;Central carbon metabolism in cancer"
L-Arabitol	A_2	4	C00532	HMDB01851	OC[C@H](O)C(O)[C@@H](O)CO	Pentose and glucuronate interconversions
N-Acetyl-Asp-Glu	CNC_90	4	C12270	HMDB01067	CC(=O)NC(CC(O)=O)C(=O)NC(CCC(O)=O)C(O)=O	"Alanine, aspartate and glutamate metabolism;Neuroactive ligand-receptor interaction"
L-Lysine	L_3	3	C00047	HMDB00182	NCCCC[C@H](N)C(O)=O	Lysine degradation;Biotin metabolism;Aminoacyl-tRNA biosynthesis;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;ABC transporters;Protein digestion and absorption
NADH	CNC_101	4	C00004	HMDB01487	NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O	Oxidative phosphorylation;Calcium signaling pathway;Thermogenesis;Aldosterone synthesis and secretion
2-Deoxyguanosine 5-monophosphate	20C_23	4	C00362	HMDB01044	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)N1	Purine metabolism
3-Furoic acid	CNC_148	4		HMDB00444	OC(=O)C1=COC=C1	
2-Deoxyuridine 5-monophosphate	CNC_87	4	C00365	HMDB01409	O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O	Pyrimidine metabolism;Antifolate resistance
Deoxyadenosine monophosphate	20C_36	4	C00360	HMDB00905	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	Purine metabolism
"2,3-Pyridinedicarboxylic acid"	P_7	4	C03722	HMDB00232	OC(=O)C1=CC=CN=C1C(O)=O	Tryptophan metabolism;beta-Alanine metabolism;Nicotinate and nicotinamide metabolism
Citraconic acid	CNC_19	3	C02226	HMDB00634	C\C(=C\C(O)=O)C(O)=O	"Valine, leucine and isoleucine biosynthesis;2-Oxocarboxylic acid metabolism"
Cytidine 5-diphosphate	CNC_70	4	C00112	HMDB01546	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Pyrimidine metabolism
2-Deoxy-D-ribonic acid	CNC_185	4		HMDB00366	OC[C@@H](O)[C@@H](O)CC(O)=O	
Thymidine monophosphate	20C_37	4	C00364	HMDB01227	CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O	Pyrimidine metabolism;Antifolate resistance
Galactinol	CNC_201	4	C01235	HMDB05826	OC[C@H]1O[C@H](OC2[C@H](O)[C@@H](O)C(O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O	Galactose metabolism
Trehalose	T_1	4	C01083	HMDB00975	OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	Starch and sucrose metabolism;ABC transporters
Methylmalonic acid	M_5	3	C02170	HMDB00202	CC(C(O)=O)C(O)=O	"Pyrimidine metabolism;Valine, leucine and isoleucine degradation;Propanoate metabolism"
Succinic acid	S_1	3	C00042	HMDB00254	OC(=O)CCC(O)=O	"Citrate cycle (TCA cycle);Oxidative phosphorylation;Alanine, aspartate and glutamate metabolism;Lysine degradation;Tyrosine metabolism;Phenylalanine metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Propanoate metabolism;Butanoate metabolism;Nicotinate and nicotinamide metabolism;Sulfur metabolism;Carbon metabolism;cAMP signaling pathway;GABAergic synapse;Glucagon signaling pathway;Central carbon metabolism in cancer"
Guanidineacetic acid	G_20	1	C00581	HMDB00128	NC(=N)NCC(O)=O	"Glycine, serine and threonine metabolism;Arginine and proline metabolism"
2-Oxo-4-methylthiobutanoic acid	4C_43	3	C01180	HMDB01553	CSCCC(=O)C(O)=O	Cysteine and methionine metabolism;2-Oxocarboxylic acid metabolism
Glutaconic acid	CNC_150	4	C02214	HMDB00620	OC(=O)C\C=C\C(O)=O	
1-Methylnicotinamide	CNC_149	1	C02918	HMDB00699	C[N+]1=CC=CC(=C1)C(N)=O	Nicotinate and nicotinamide metabolism;Bile secretion
cis-Aconitic acid	20C_8	4	C00417	HMDB00072	OC(=O)C\C(=C\C(O)=O)C(O)=O	Citrate cycle (TCA cycle);Glyoxylate and dicarboxylate metabolism;2-Oxocarboxylic acid metabolism
Dehydroascorbic acid	D_3	4	C05422	HMDB01264	[H][C@@]1(OC(=O)C(=O)C1=O)[C@H](O)CO	Ascorbate and aldarate metabolism;Glutathione metabolism
Orotidine 5-monophosphate	CNC_77	4	C01103	HMDB00218	O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O	Pyrimidine metabolism
L-alpha-Glycerophosphorylcholine	CNC_79	1	C00670	HMDB00086	C[N+](C)(C)CCOP([O-])(=O)OC[C@@H](O)CO	Glycerophospholipid metabolism;Ether lipid metabolism;Choline metabolism in cancer
L-Kynurenine	CNC_165	1	C00328	HMDB00684	N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O	Tryptophan metabolism;African trypanosomiasis
4-Pyridoxic acid	CNC_187	4	C00847	HMDB00017	CC1=NC=C(CO)C(C(O)=O)=C1O	Vitamin B6 metabolism
Homocitrulline	CNC_125	1	C02427	HMDB00679	N[C@@H](CCCCNC(N)=O)C(O)=O	
2-Deoxycytidine 5-monophosphate	20C_75	4	 C00239	HMDB01202	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	Pyrimidine metabolism
2-Oxoadipic acid	CNC_129	3	C00322	HMDB00225	OC(=O)CCCC(=O)C(O)=O	Lysine degradation;Tryptophan metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids
Pyruvate	4C_1	3	C00022	HMDB00243	CC(=O)C(O)=O	"Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle);Pentose phosphate pathway;Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Alanine, aspartate and glutamate metabolism;Glycine, serine and threonine metabolism;Cysteine and methionine metabolism;Valine, leucine and isoleucine biosynthesis;Arginine and proline metabolism;Tyrosine metabolism;Phenylalanine metabolism;Taurine and hypotaurine metabolism;Phosphonate and phosphinate metabolism;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Butanoate metabolism;Thiamine metabolism;Nicotinate and nicotinamide metabolism;Pantothenate and CoA biosynthesis;Terpenoid backbone biosynthesis;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids;HIF-1 signaling pathway;AMPK signaling pathway;Insulin secretion;Glucagon signaling pathway;Type II diabetes mellitus;Insulin resistance;Central carbon metabolism in cancer"
UDP-Glucuronate	CNC_93	2	C00167	HMDB00935	O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O	Pentose and glucuronate interconversions;Ascorbate and aldarate metabolism;Amino sugar and nucleotide sugar metabolism
Cytidine 5-diphosphocholine	CNC_152	4	C00307	HMDB01413	C[N+](C)(C)CCOP([O-])(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O	Glycerophospholipid metabolism;Choline metabolism in cancer
"D-Fructose 1,6-bisphosphate"	20C_7	4	C05378	HMDB60444	O[C@H]1[C@H](O)[C@@](O)(COP(O)(O)=O)O[C@@H]1COP(O)(O)=O	Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Carbon metabolism;Biosynthesis of amino acids
"D-Glucose 1,6-bisphosphate"	CNC_66	4	C01231	HMDB03514	O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)O[C@H](OP(O)(O)=O)[C@@H]1O	Starch and sucrose metabolism
D-galactaric acid	CNC_145	3	C00879	HMDB00639	O[C@@H]([C@@H](O)[C@H](O)C(O)=O)[C@@H](O)C(O)=O	Ascorbate and aldarate metabolism
D-Sorbitol	S_2	2	C00794	HMDB00247	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	Fructose and mannose metabolism;Galactose metabolism;ABC transporters
Uridine	U_5	2	C00299	HMDB00296	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O	Pyrimidine metabolism;ABC transporters
L-Arginine	A_15	3	C00062	HMDB00517	N[C@@H](CCCN=C(N)N)C(O)=O	Arginine biosynthesis;Arginine and proline metabolism;D-Arginine and D-ornithine metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of amino acids;ABC transporters;mTOR signaling pathway;Protein digestion and absorption;Amyotrophic lateral sclerosis (ALS);Chagas disease (American trypanosomiasis);Amoebiasis;Central carbon metabolism in cancer
Cytidine	C_7	1	C00475	HMDB00089	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	Pyrimidine metabolism;ABC transporters
Adonitol	CNC_12	2	C00474	HMDB00508	OC[C@H](O)[C@H](O)[C@H](O)CO	Pentose and glucuronate interconversions;Riboflavin metabolism
D-Arabitol	CNC_8	2	C01904	HMDB00568	OCC(O)C(O)C(O)CO	Pentose and glucuronate interconversions
Thymidine	T_5	2	C00214	HMDB00273	CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O	Pyrimidine metabolism
Xanthurenic acid	X_5	4	C02470	HMDB00881	OC(=O)C1=NC2=C(O)C=CC=C2C(O)=C1	Tryptophan metabolism
Putrescine	P_3	1	C00134	HMDB01414	NCCCCN	Arginine and proline metabolism;D-Arginine and D-ornithine metabolism;Glutathione metabolism;ABC transporters;Protein digestion and absorption
D-Arabinonic acid	CNC_157	3	C00878	HMDB00539	OC[C@@H](O)[C@@H](O)[C@H](O)C(O)=O	
N-Formylanthranilic acid	20C_80	4	 C05653	HMDB04089	OC(=O)C1=CC=CC=C1NC=O	Tryptophan metabolism
Ureidoisobutyric acid	CNC_202	1	C05100	HMDB02031	CC(CNC(N)=O)C(O)=O	
L-Glutamine	G_14	1	C00064	HMDB00641	N[C@@H](CCC(N)=O)C(O)=O	"Arginine biosynthesis;Purine metabolism;Pyrimidine metabolism;Alanine, aspartate and glutamate metabolism;D-Glutamine and D-glutamate metabolism;Glyoxylate and dicarboxylate metabolism;Nitrogen metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of amino acids;ABC transporters;Glutamatergic synapse;GABAergic synapse;Proximal tubule bicarbonate reclamation;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer"
D-Glutamine	G_22	1	C00819	HMDB03423	N[C@H](CCC(N)=O)C(O)=O	D-Glutamine and D-glutamate metabolism
Prostaglandin D2	Cay_10	4	C00696	HMDB01403	CCCCC[C@H](O)\C=C\[C@@H]1[C@@H](C\C=C/CCCC(O)=O)[C@@H](O)CC1=O	Arachidonic acid metabolism;Neuroactive ligand-receptor interaction;Fc epsilon RI signaling pathway;Serotonergic synapse;African trypanosomiasis;Asthma
Prostaglandin I2	Cay_11	4	C01312	HMDB01335	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2OC(C[C@H]12)=CCCCC(O)=O	Arachidonic acid metabolism;cAMP signaling pathway;Neuroactive ligand-receptor interaction;Vascular smooth muscle contraction;VEGF signaling pathway;Platelet activation
Prostaglandin E2	Cay_2	4	C00584	HMDB01220	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	Arachidonic acid metabolism;cAMP signaling pathway;Neuroactive ligand-receptor interaction;C-type lectin receptor signaling pathway;Serotonergic synapse;Inflammatory mediator regulation of TRP channels;Oxytocin signaling pathway;Regulation of lipolysis in adipocytes;Renin secretion;Bile secretion;Leishmaniasis;African trypanosomiasis;Amoebiasis;Human cytomegalovirus infection;Human papillomavirus infection;Pathways in cancer;Rheumatoid arthritis
3-Hydroxy-DL-kynurenine	CNC_179	1	C02794	HMDB00732	NC(CC(=O)C1=C(N)C(O)=CC=C1)C(O)=O	
Isobutyrylglycine	CNC_173	3		HMDB00730	CC(C)C(=O)NCC(O)=O	
5-Methyluridine	CNC_103	1		HMDB00884	CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O	
Acetylamino-acetic acid	CNC_13	4		HMDB00532	CC(=O)NCC(O)=O	
Carnitine	C_11	1	C00487	HMDB00062	C[N+](C)(C)C[C@H](O)CC([O-])=O	Lysine degradation;ABC transporters
Inosine	I_4	1	C00294	HMDB00195	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=O	Purine metabolism;ABC transporters
L-Asparagine	A_11	1	C00152	HMDB00168	N[C@@H](CC(N)=O)C(O)=O	"Alanine, aspartate and glutamate metabolism;Aminoacyl-tRNA biosynthesis;Biosynthesis of amino acids;Protein digestion and absorption;Mineral absorption;Central carbon metabolism in cancer"
Ureidopropionic acid	U_6	1	C02642	HMDB00026	NC(=O)NCCC(O)=O	Pyrimidine metabolism;beta-Alanine metabolism;Pantothenate and CoA biosynthesis
Pyridoxamine	20C_34	1	C00534	HMDB01431	CC1=C(O)C(CN)=C(CO)C=N1	Vitamin B6 metabolism;Vitamin digestion and absorption
